user_id,name,review_count,average_stars
j9CYALELapJci8kQ61_7Cg,Nicole,5,4.25
Q9YX5k3ICwUYGkMjADSokQ,Melvyn,13,4.31
PyOkV3pQ1aw__O4VAWmvcw,FC,3,2.33
F6uG2OxXVNkAhuM24n3ZGg,Derek,2,3.0
Acl3hg7RPM6tj4zkPvdz1Q,John,2,3.0
dYtkphUrU7S2_bjif6k2uA,Junk,267,3.3
jgOtDM_CSVHoWhlf3JxUzQ,Alan,3,4.33
rbcbqdr8hV0iv8ISMheE3A,Kai,214,3.81
ZAbccZRkyprv9jA5JIqEAw,Rach,5,5.0
1NppMyL-2RXQvHUExIjxdA,Mike,90,3.52
cMmQsFyrYBv6hIE6NffqZQ,D,79,3.81
eSAmN-5RAu8y1igSvz_yJw,Eddie,252,3.95
VKOREbYBDBK5oaorb6j6mQ,kelly,23,4.13
LRsJbMmLXcMpZ3Fqcys0vA,Glenn,8,3.88
n4RPA0Cuem4ygQxPIdLBLQ,Stephanie,130,3.91
qQxDnjMexrsfltQV7I1mJw,Russ,21,3.81
pYfB2Asdqg5ampdmqEjdzA,Angie,1,5.0
-aCl04VaJ4FWzo7y2diKZg,Alex,1,5.0
TGQRbUuikgzO2ARVicH1cQ,Debra,4,4.75
akmkd_2iLRrbOyPBfYLN0A,Miss Kae,59,3.24
f72UJVOllcjgpZdOi7-gkA,M,7,3.5
EJeBInfAGoBiVWqXX2YTQg,James,3,4.0
rpMb-wEYPevvuaKLIbqrvQ,Ania,1,1.0
iIfuhtK9Pu7tLSNbxxoJfg,Lenin,2,5.0
BE27SDgLqJTEjVq2p9yZDg,Ryan,1,1.0
RqWIxCYG4a42mUCChgMQvA,Mickey,1,5.0
IFKDDiyY-ap8DNaSCIwbZQ,Catherine,32,3.1
sowwcc9gasFhwsdMgsMzrg,Nicole,4,4.75
XYx6ZiTSIpbC3qm_xEm-KA,Ron,3,4.33
f_rpabHGZ4SgFZp5_jQ8KA,Ash,2,3.0
zKyJDKJwAfWGB4HKXp9snw,Eric,36,4.0
owCSYaRJEiV-kk2L2HP00A,SJ,2,1.0
uBAMd01ZtGXaHrRD6THNzg,Anthony,16,4.33
JopzNRMvBxIc_M5pZfoK7Q,T,16,2.38
IBgAJmUpRFt7oxz0A7l80A,Ivy,4,3.67
FxEau0b8pC_N7QeZNHZZtw,Justin,12,2.8
u74AsCsDA4gSOGHySJTm3w,Rob,25,3.56
2QzrMw_uWZuhPFvqie0cmg,Joe,8,4.0
6LDJDgd3bllzpeo1JzJSIw,Shelley,4,3.25
z-TD7Mf07w8jdS2xbYp0Dw,A,5,5.0
_j70DLAT_Unc8uR_PNkp_Q,Jordan,5,5.0
S7Zlol5qxWrRGX21Uqs4_A,Debbie,1,5.0
ZpRbqGdmhgiENWtw_XQ4OA,Andrew,1,1.0
4expbzCvfg4ZEWh8MOD9Cw,Tyson,24,3.5
PXLb9RnpfSPRG4nNa1F05Q,Krysti,1,5.0
J0jywlzX6xwjDqPewyv7MA,Sharon,2,3.5
fM6zztYtf9W5DsXUhy941Q,Mister,71,3.65
F3kzrZd3R_z60p5mPeAT-Q,Chrystal,3,4.5
Lw2JfTJSlGLJa_qjoeYnbg,Emily,5,4.2
TSmeNkbRpG_8REsLeTIwnA,Jeremy,70,3.31
rxLztfrLaSOhwl5LTqbqzw,Tiffani,4,1.0
GDs9jnBBln3KhU0teNsHDQ,Eric,380,3.31
UlF9QddRCygQrmmXuwIFjg,Arnold,42,3.87
K-N_hbnmYNt35J35ocjbww,Jack,1,3.0
i2srUvYyu0rX8ODt_RKG3w,Mizuagi,1,1.0
GN-4LStZtWdAqNjwUUEvNQ,Adam,18,3.78
jv9monaBCfX84LIW5gFs2w,Russell,2,3.0
3ouCNuKrN3cw3bBZHXdcyQ,Nicole,6,3.6
SfXcp7C6lzRgYBiNL6zX7w,Nikolas,26,4.27
kfvcQcMouoxlw4bmQebxww,Pam,4,3.75
2mQpxWifARjbp7H1rehVrQ,Sal,238,3.65
gkLF4m_BlvFRhOuh1OGgyw,Dan,1,5.0
7xp8QB-6APuFbiSdEI3-4Q,Terry,1,5.0
YyV13Qb7TL-o1rvn_b1VGA,Aaron,1,5.0
Cw_f-K74pUnQs-A16itmEg,John,3,4.0
weBOpmQtMv8Z_L54gPs3hw,Jennifer,9,3.86
nVs5vkTn-rcbpVbnfl_KWw,Mychal,1,5.0
Uo74EZEYjOeEfsUpdS3oiw,Billy,2,3.5
JiJSN4Ke7om8lkkllKTR5A,Allison,21,3.95
AcErO3j0GFTXbdJHbuD2-Q,Ron,47,3.79
53AZajKCKZsf-VosN8Dmeg,Colby,5,4.0
1O7mOUPJCxB6e5pdyCin4g,AB,5,4.0
nu6xTWhL3SVrnxPgJOE73Q,Stephanie,7,1.8
xZJO6cRX6OHabaePvPzsXw,Sarah,6,4.17
v1ntgoANp9xLxf4u5iJR4Q,Tim,2,5.0
bbVdfdqq3_XmWTxrhqPa0Q,Chris,4,4.0
oe614PyMdAayDUfWEaFUUA,Barbara,88,3.89
Qo8UkUSL5y-MCw50eIACsQ,Daphne,18,3.17
sXWvDlMQspjJ1zzr3cEM7Q,Meridith,439,3.64
Wg4mxEGEI7Vz8VC0WCI69Q,Joe,14,3.62
fJH98Ok6ZlfBmsd0h_HaUQ,Anne,8,3.5
hkXeZdoz2uk1ZLORqYQ47w,Richard,8,4.12
tHE3AJdBju9VQ0fzbP72dw,Jordana,1,5.0
O5dNmqcrCiE7FG7VS3y-Cw,Chase,28,3.75
ify3N2NjFX_sjDnslizsvw,Grace,26,3.85
oQSK7Poz3Ex95qpsv2EUcg,Donald,1,5.0
SFWaDnvJtHPD0pIru1y8wg,Kathy,12,3.92
ThZw3MFhwjxU4bjeFL3Pcg,Kelli,5,4.6
ZsjBAQiO5lNa_Tzlr3_FlQ,Daniel,5,3.8
oFHxCaz9iIkuilTtqlzxEg,Larisa,332,3.93
bzE1d8iiwkswuyjqC7r11Q,Jonathan,3,3.33
j0KVSX1QWLgjqVoYLjLqEA,John,11,4.0
RD2YHSnQCy2iSN_EGo3QdA,Jason,4,3.67
nr5-g3HCSidJ9fBoAP39jA,Justus,29,3.97
9b7HeM91XY9tIFGFVi7Y5A,Jennifer,8,3.71
AIvZS_tQ7y-ADNji1KM9Bg,Cathy,4,3.0
iSjr5iewkapr08l5SPAi0A,Jennifer,7,1.6
dlcDKOOlGeQ7Cu-6tAiHYg,carrie,30,3.93
T2u4D_GmKo5KbDiXLRTcyA,lenoxx,15,3.43
AdNbFzW14o88wNo7dTKz6g,George,3,3.5
RxX5_RP3hSGpMhGY6y6OiQ,Joe,13,4.85
yf8gN_pRFE4c3zs1D72l4g,Staria,2,4.0
bWNjCQyTJttofo3dKtTTPQ,Tricia,198,3.75
PyhTmEpgkP1CMGJP-bB9DA,Richard,1,5.0
4CJGQajGdc8JwFneADetcQ,Jeff,1357,3.67
3sfS66tTc2BLmcU959dSsg,Simon,14,4.15
p7CS-HdINxXUVxn9Ss09VA,Micah,19,4.0
LFLqZT3zTP5nJ0kH_ydVkg,Amy,4,2.75
VbkrQcb615YaVp7bFyt5fQ,Tanya,31,3.94
JK0mzJWym6AFSrw849bmrQ,Steven,11,4.18
ngU1vdwjT2lGOsdTq1JK5A,Steve,9,4.22
23zT_daU4O5VcFnajw8MTg,Casey,22,4.0
SgLoVOP_KUVQuDDI3PpkFA,Jessica,17,3.88
-d12fQpJ6XhN-hPzxeStCg,Kelly,1,5.0
TbZ9KAHJGtmV73thmvjygQ,Jennifer,2,4.5
83UjWE-VBOoOws1oI4JhfA,Paula,3,5.0
4k3-pyX966dnSMuvuBvLjA,Rachel,13,3.85
eT1fp_Js2GD5Z-FIt8CC1w,Pam,2,5.0
nTFnSwqOpyj5d4IifRa8XQ,alex,3,3.67
8Kvmut7tOYkAxa5KPBT3FA,Mary,4,3.5
vh85A2GSrIovm3W7CG4R0g,e.,4,4.75
4QA8ilDzVnF4j__I6E4T6w,Becky,5,2.8
OIEmHXKytEoQfnOu2Ozmgw,P,5,4.75
out_4MBKTtOqlXlHOlXwFg,Anne,16,3.5
J-H-q2-4AyFM1ILE4MARAA,Terrence,1,5.0
gQm2p1gmBPQ4f1sHxgRlbw,Conrad,6,5.0
TGZknBtL5dyiuoThHSKmMg,Nicole,2,1.0
GIBTgFC8amRa295ozndJIQ,Charles,2,4.0
lzutD82kSsk55M7XEId6GA,Patty,2,4.5
N56tE_bSNVAgk59avW-TFA,Mary,6,4.83
Qx6Kq92S72-tik94Hfn0UA,Madinah,2,5.0
zGsGvKgD-5ZtXNzTagjbkQ,Sue,2,1.0
vz05hlteS6XvnczIInsnqw,Corey,40,3.73
umHlSGfbPXti-VOinu7fkQ,Catherine,5,4.0
8McyBeTdW7D4BG87Tv41WQ,Carol,13,4.58
ew-YiTn2fJH0IyjXSltKBQ,Michelle,2,5.0
g5hVihQ30Nn-XoswvlvMvQ,Nanette,4,2.33
lw_Lj1XjPjOYrDIkDEcDzg,Kimberly,10,4.2
6dDBJ5G-C5lcuLeUAwwdvQ,Evan,1,4.0
VFcEaZC5ojcgA0RIcukggA,B,3,4.0
cKFd4AkPGpOkEy9zR_7O5w,Alyssa,13,3.92
sv6o8BdnMM8UB-KTH6N7kw,Cheryl,1,5.0
O8tNWUq6vPmvq2YTVD8hlA,Jill,258,4.12
F98yAgA43QQR0woD80Voaw,Jean,2,2.5
chHirosDitN1crv1thxA6w,Amy,2,5.0
ShQZSh_0Be48sy-JQOb5dg,Erin,43,3.67
jd_A8MB3M33Xy9Dd7UJ7_Q,Cassandra,10,3.7
Igu8LjeJunbmmsZycWZuEA,Jay,3,2.33
F5ACaWQvyUQ2HH7-YIkdkw,Charles,4,1.75
aNtYQW1GoDXlLzEsEmoR3w,Mia,1,1.0
e1a1i8aFuFeSn2dJbKycmw,Ovi,1,3.0
sNek-w3xKlwit6q_JpnT7Q,Jamy,23,3.83
SH9lxmHsiUxQ-2Ic7A0Bcw,Alex,5,4.5
Kc6eyirhmOH8vXBljMXDCg,Sandra,10,2.62
IWCF21myBYma3Cmb_9Z8LA,Mini,9,3.38
UG4Mj3GJs4PpnFlF6z7g1Q,Kayla,5,3.4
_D1zyYMjll4almoGZjBmkA,Lydia,5,5.0
oYiskdGb0XYT2NjRb-s_qg,Jeri,9,3.0
vtfOF92rj8kXGRlMPiprWg,Law,100,3.45
hWM1k9RNkPH9oCcoVS1ftQ,Melanie,43,3.74
15J3D1xNze1NbO2SoqAQfg,Frank,6,4.4
o99g5QZpt_wc4bk1uvEH7w,Peter,10,4.0
bgjGWDjAxqIPF7BJBUps2A,Molly,24,2.57
iY_jDdD4BrRMSYgn3tCDtQ,Stu,5,4.0
nAjxNm5aWD60h6qy2bMacQ,Stef,3,4.33
US3AZyMVZJxg_3Tzs4xoEA,Julie,15,2.8
2qHG0PbNhP2GYv5ITnSFRQ,Lilian,2,3.0
nUGV1dVjO84ZI3nplRbwFQ,Luke,5,4.2
R5jIAytpLfAPwsIpsViEsQ,Scottsdale,1,1.0
yTvUoE-kAg6l11mGkdJFJA,Thomas,4,3.75
DYs-7UH4lhgjvGe4d8huvA,Laurie,3,2.0
7OqeO0eqe805StjppUvUFA,Kaity,68,3.35
0bf_zvgBrEOnx7TLh8dxOQ,Tony,173,3.63
JvVYWmY3xmiu5cpbsGfTaA,Matt,2,4.0
TD5LHxKwYJWkSVjxx8y2pg,Kalika,2,2.0
ATlqgcQwb3XzvDnq3Lv-0A,Ryan,133,3.72
MAvkqp_gDtKYU1d981XnwA,Kyle,24,3.96
POPVwe5sCm-SQZVkBo8S2w,Sean,43,4.05
8D408fDn0twwIW6FZ42YWg,Kathy,26,3.15
c-nW0Acxj4mbX47XSpmJPg,emi,37,3.62
qm5xGd3d47RfLWib0ryMAg,amanny,18,3.83
6SLj8XiCdqeR_DHR2JmEdw,Laurie,3,4.0
fl3mDJ62rLlKIdF39Lv8MQ,Chris,6,3.33
btv7I8PxSgF4GQFIDq4rYA,Stacy,1,5.0
NdytAQjOvVt1Ro8-Z99ngw,Tara,14,3.86
-nt-buRWQvDsbXuvhole0w,Robin,34,2.76
VDay0jaCPqADA2PIYco0uw,Courtney,1,2.0
pYsYs7eQ9SWqAaQS0xoRLA,Greg,412,3.65
Dw8c5RaDIvbQ16eubug6rQ,Jim,1,5.0
1u_jzMe9q3rHLUr8wb_GdA,Mindy,17,4.81
UiEyQ_x2wNF6Ad8KFdoZ_A,Patty,3,5.0
_FbZ1gXZL349iiz5D8gz2Q,Chris,22,3.64
Ryy5lzNOevuI3aEc95768Q,Joe,8,5.0
SnbTDuEJZ3bvarb2L0Ykrw,Ryan,9,3.78
P-lfV8cdAgEOZJkw2dJpsw,David,1033,3.92
cCQberZUpkXgdGtCoqTvMg,Patrick,3,3.67
-hSy455NBx_lQ3SeQioq2Q,Dennis,26,3.65
vewaAGn2n53naTA1a2WP_A,Stacy,5,4.2
Z18eLwQq7SYPd02nPo7juA,Andrew,1,5.0
xJmdrh4uEDAKf-2KjRArHg,Jack,6,3.4
uEG5uD9wMJixGWxaq34IEw,Steven,139,3.64
PESZTjx1dw1XFdZp972qbA,Brian,5,4.2
0PDyF0G9HNEkC4qT2cSQFA,Mike,8,3.29
q6wboZhfNXd9dI57ct0XIw,Munaf,1,4.0
f-_7wdkiXOc9TEfa4ZJEwA,Daina,8,4.62
0w7AQaUnSQztBbt4JT9k5w,Samantha,8,4.0
jfXT_8J_EQnJVa4sJ3z6hg,Leang,1314,3.8
96Re6vNVUJcozL0FEzO-Nw,Donna,3,4.67
TPxhtgj6BzpKBih2G5EHIQ,Rachel,6,2.6
iP2sk2ek0sDyWJIZyU4j2g,Kristen,2,5.0
d0KoBZ8tnsMzb2iG45vG-g,Amanda,18,3.33
74BsmOZHUUdsvzYtGtlRiw,Jennifer,347,3.81
ZjP38OJwq604QnBzDxVlSA,Kalia,7,4.14
mYhWH6RExfM_EpMR_uUozQ,Walton,28,4.25
uyUfGVoOwQVtpBEhVCVcbw,K,2,5.0
8Uuwc4VaupFWvlGRwOZ31w,C. Edward,26,3.88
VdL4eS8fAWCNInNtMvd-tw,Rocky,17,2.82
jQcGFSO18cicLzCtjhvGBA,Kari,5,4.8
XoNSmEkutP_17dO7HLYc1Q,Maria,31,3.23
3QaC0Ljl2hWLdL_jzt6nJA,Roy,16,4.31
cRDmScDj6j_jPlyZn27bXA,Brad,11,2.7
dVXdgn9PKvSozekkyhi16Q,David,3,4.67
fCAuRQFkaN3UEebkfgpHUw,April,8,4.5
I5AcIAujn4X0fzjq-CTLBg,Shelton,4,5.0
FGFYZUNgWcyBpWWH-1aauw,jay,1,5.0
Bw9aoRUhoog-AtVnDBw_eA,Johnathan,7,4.43
YCaqPOlG6CfKOSXUGAKicA,Gidget,2,2.0
-txH2zJSBZQHO6RWvoWXuQ,Jacqui,58,4.05
jmquyMQUHSuS8IQkv5PyYg,Penelope,7,4.83
jyu9ThrwLGgVE1csLKR1Yw,C,13,3.77
6Oko6gNlXvknpF27R1FWOA,Rob,5,3.0
dDH8DGz2-PG558RHu5rWDQ,Dan,8,3.14
IwZkZmCpc2D7DslEogiBYg,Penny,1,4.0
1g-nGTPpg3_pjYbkgRI9jQ,Joe,1,4.0
x8n40c7W1MTWTTXsI2TxTw,Jane,50,3.9
tdNV2Wb0LrFpm1Yfov_Klw,Deb,357,3.91
TouZvN0GpE8Ngm8_cWOK1w,Chris,9,4.0
P1gw1GkB7Kye4LK52a9kXA,Marlena,6,3.0
gQhHDBekmBHSKdQ2j5mmQg,Gretchen,61,3.15
nWp3eeRsjv1ol3wCt3Ry7Q,Sveta,6,2.67
SZxqMdlFbidxrxjiCDzryQ,Patrick,5,3.2
Fjs6c1PwzY1YbTcuAyubCQ,Mark,32,4.0
AVHseP2_PaUlCWhSsS7oKg,Jason,3,3.5
t6u29OyVPTIDI-RUlmp-WA,John,1790,3.33
5hOiRU4n02xNvxsfKKoznA,Kristin,9,3.44
KwYxQgDFvM24DYXSVfEraA,T,3,1.0
i4MKtZoii8WCSq518WvIkw,Brittany,60,4.1
oeQjThrGQAQIHWN2qBeERw,david,29,4.21
mQba83gB018LlGt51r80ZQ,Dan,106,3.82
3qgnVSizS98l5yZXGOW_sg,Kirsten,1,5.0
qnMSU4fQFauVQGLCotjlww,Joell,1,5.0
j2mGvnnXhp_fUxiNIoH6KQ,A.,27,3.44
dPPa8QTRDT-6-LfRYQeIHQ,Paul,7,3.29
rUkjzVMimlyQ5n6iePQ5FQ,F,24,4.04
WYfVgKWdSHr8NoOEjnf8BA,David,174,3.62
VW7x5Jo1Yi0c34-kOT63pQ,Daniel,1,1.0
gY-ne6NPsUzCdeWJonLhzQ,Dennis,23,3.43
r8Jtn1IXRsZEddyYLdczDA,Tom,4,3.75
8AmFNpqDOvj5Yjfhxpysvw,Mike,51,3.86
NwsZvz90aj-bUg5hjyJmWg,Christopher,27,3.26
r3tb0RdVAx0wiGWFLv0t8g,Dyl,2,4.5
PKZvqm3IeWiWBYoDDoEG4w,p,10,3.22
yvvtblpPi_QH41Jm6ari0w,Sarah,5,4.0
HrJ2gJ-J-WuoUKTAz_02Aw,alfred,20,3.2
c4Frs03yozdJJ3uvuSAp3A,Penny,9,4.44
FX7xoins2KhtC7y79BEU9g,Patricia,16,3.38
F28hTTLhM5sEtIc8k7KQVw,Beverly,5,5.0
kak_OB_Bb3VFDSguCdHN3w,nancy,1,5.0
lS6LniF_pemBHBzigzWBbg,Jessica,2,1.5
nxW7C0VHPYBkbuyDqBkG-g,Kyle,1,3.0
KMIRiJOWb6yQk_RQXyOijg,Betsy,1,5.0
oUGmoziFCwNi2oUHB54SGg,Allen,23,4.26
3CiFPZtiIgzxwE3Oz8N9lA,Kimberly,1,1.0
4GzBe-7iyLaCFHfqbChXyw,Diane,7,2.43
ebsr5Hg2hE99-iEzSRPdBg,Glenn,9,4.0
IMNHojI9CeW1NBmYVqyGWg,James,16,3.62
HAV50pwRVkmu8ZHD0bbZHQ,Nic,10,3.2
sMiqBDhg1oasooQ7pWBQ_Q,Ravi,2,3.5
GnVC8ULHrl8o1stcNgSnnw,Oscar,1,2.0
zX-1TG5Faj7aDAt15X1vmg,Kristie,2,4.0
xdqZrsB4ZhxYX5hoW984jQ,Valisa,2,3.5
UEjyCWJI8ytVSxknmHk6Ig,Sarah,1,5.0
mSyCw4WTV3oLtTtRE-uylQ,Andrew,9,3.22
9QKLP4w8DBktVfC28HAgxg,Y,4,3.25
zw-bIcZP4_VEi3UetomDeg,Angela,381,4.0
r_5slEuf2V8ab3SZMHVfgA,Sarah,117,3.78
oZVr2_zB0h-Jb2dE4IVWbw,Zeb,7,4.29
omeswY0LjLvCb8qouz763w,Laura,6,3.83
FGdS11SSEE0VZnb7E4BiiA,Renee,76,3.47
7H6TgnJAxZjK4ZWdq8-Tqg,Alex,36,2.97
MxvD9pq_jF4FxtO1yNetZQ,Kelsey,3,3.0
zigHnwA0FSGPGUE59lLFzA,Jessie,24,4.04
f7Hv9J9GTTXd3XsfRgt3Pw,Valerie,40,3.1
SKkvXrkPKEANoxNiBzfCtg,Marie,19,3.79
TpiiNLZRlBiNs35Nlm2-wg,Chaka,124,4.12
KvvUJzBFR0BffuNrrLUZug,Katy,63,3.59
QlCdjt6FoM8-qa51N2jCSQ,Michon,8,5.0
MfBVS__OS-2Nm-zzmo7gEA,Charlene,6,3.17
6W8g1cFTauSG7GsZGNhIjw,Bonnie,78,3.53
0Vhjh1g_9MhXZ8Hb_jNiTQ,Richard,1,5.0
9YcqKqs7xFH2tMOuqoUsQA,Adam,8,4.0
SNxagk8YIdqqFmoY26PmXg,Michelle,2,5.0
4wLQR_2P2eYQUC04yxm09A,Tom,6,4.2
aj_KGzzcR-l7sewDnApqDA,Timothy,1,4.0
z99Xto9oUSRfaj03mqQlfA,Alana,9,3.67
OfIm-r7GAv7p5JwzPUYDXg,Sheyna Lei,7,3.29
76SlIVfcXJujKQ3xSyYtOQ,Dave,25,3.8
kruq_yMP2e__5vpG8sTq3Q,Matthew,3,5.0
YiTrAuaKH0QGBHYe0h18Gw,Eduardo,18,3.39
bi9COAGNGGFWaScZ2DgMzQ,Matt,2,2.0
IqAcO08I-GS93qY2BrmbTg,Susan,6,5.0
Wmlxh305msxQuG2Mje_AvA,Christopher,19,4.74
cMNHD4NWHvsKhmJlx5F3ag,Kim,5,4.6
7AYyejHIG5r7P7JFsZ3njw,Kellen,14,4.29
8e5nqlfZe9iGTGcaqBN0lA,Nichole,3,1.0
tDxKlkWxL1Dd1Sp_nBF6BA,O,48,4.25
uQPynTxs2LUNHerWP3Jbhg,Tim,2,3.5
JQnT2lCJrg0v277C4OpunQ,Kimberly,2,3.0
JZo5obvpX6Dsc42eheh_bw,William,1,3.0
b87-U2ZwReh80dLWA-ZieA,Melissa,80,3.34
s0JvVpNcu1KacfWXboVuvw,Robert,7,4.29
izrPGEutYNurRfodgsIxAw,Aliria,20,4.3
8U7_9ccG10nULjZZANxjCA,Michael,27,3.74
Xzy0-Ju1stFNrgqs0IrGiQ,Shannon,46,3.87
uTwbgmE_wFyqSaqpc9zP_A,J,2,5.0
-VLz8fGKbli0lMkmzTU6wA,Roxie,1,1.0
br1qvK-MvggCRpDcW4_ezw,Lora,2,3.0
3oc5xoPfPkYwJ04rqU46uQ,Dennis,1,5.0
5jODkdonMV0HbIIPik1RuA,Emina,26,4.0
4aM_mL0xArtvpJBwetqagw,Rebeccah,10,4.8
IsvpOkTel_AWtGTAapM6XQ,John,56,4.23
MQz-bZND3T_-RRwBOcINKQ,Frank,28,4.29
yT5zeZCV2jDHdQX5xBSxpA,Stella,10,4.1
BVqYroeIcjd5dZq6axUNAg,Out-n-abou,93,3.7
wHJOaznFDWzoAwQskGgAJg,Adriana,7,1.86
ChasWJt6OMCsIpPg4Uly8g,Natalie,8,3.5
JJ-4CMgzXvH-2ezBdojnaw,Will,2,5.0
enD3soG1PXoBx60R9oXb3A,Ruth,1,1.0
fOpw1fEVhhWMqo0B7NjsVw,Beth,1,5.0
ISTfsB5G2Qsqvr6r4vVy9g,melinda,3,3.67
6EvgGCHSr5tJiLyJ9dZn3w,Mary,2,3.0
ttUEswTJvegyDC88G8VxZg,Jesus,8,3.12
-QT_e-7VSun5c2z85k_k5A,Allison,46,3.96
OP0Rh-KTJKb2r6yQYu6ytQ,Penny,10,2.0
F8REvqCL9BjIp6B9rUU_2Q,Candace,6,3.17
_Li1-mskJaqD2lhQRlWo0A,Cherepaha,34,3.53
vH1t_AB1Pqzoi0D04NvZBg,Melissa,2,4.5
pCxaM5a3eEkfRZme28H4Xg,Blendy,11,4.18
2BiT4UmTnrnipyJTcBb6QA,Christopher,11,3.18
ueFG4iLS8AGlDsT3Y41dmA,Elyse,263,3.93
Q2mW1efe0ttTY6oX65feKg,Peter,3,4.33
0VJkru53hi_-YqQ4LoIbnw,Carri,9,4.33
MevHLh2xVAcBVOwvs0jS1w,Aurora,28,3.75
k0ZiLk6LMoa8kCFmTjJ_Qg,brittany,12,4.0
l4j6Qm2Wfdx_PmPbUgyrYA,Susan,3,5.0
JQ209VaccTCHSqT22iYXlA,Smarty Pants,122,3.64
GGyXHGGXyIb6Bc8Hh-rgNw,Norma,8,3.14
M5aFV6a_fy5wQNowvWHV5A,Nick,5,2.8
mFOZOsPQOacWIMVSyXbEbg,Don,1556,3.81
Nf2fbTcpiWKpuHYKQvWeBA,Justin,3,1.0
