votes,user_id,name,average_stars,review_count,type,useful_votes,funny_votes,cool_votes
"{'funny': 1, 'useful': 1, 'cool': 1}",BDa9RGFZv9TV2lGAiuqjxQ,Mary,5.0,1,user,1,1,1
"{'funny': 1, 'useful': 14, 'cool': 2}",qw8n1PUrt4qBh-4eMjfv0Q,Carmen,4.11,27,user,14,1,2
"{'funny': 0, 'useful': 3, 'cool': 0}",F2M53He6gzMb1vp3m7cKJg,Syd,4.78,10,user,3,0,0
"{'funny': 0, 'useful': 0, 'cool': 0}",Mcdt7tUA7jqiqCtyxXgq4g,Kristina,2.0,2,user,0,0,0
"{'funny': 2, 'useful': 6, 'cool': 1}",q10h5nL1LnbaKMlNOfahfQ,O,4.33,3,user,6,2,1
"{'funny': 317, 'useful': 1244, 'cool': 890}",CUUpi7gtqx1zojEGJ6Z5ew,Gabe,3.82,407,user,1244,317,890
"{'funny': 295, 'useful': 795, 'cool': 527}",6hvcowqr8NYug9u-Bzw8Jg,Jay,3.51,379,user,795,295,527
"{'funny': 1, 'useful': 1, 'cool': 1}",pjfwk6ZnCAcJAsX4V6QhpA,Dustin,5.0,1,user,1,1,1
"{'funny': 3, 'useful': 6, 'cool': 2}",BqmMeZQD03LHJ_vibTOp2g,Dino,3.88,8,user,6,3,2
"{'funny': 26, 'useful': 35, 'cool': 16}",lodglSjhVGXzRUTDMoyOCg,Brian,3.14,118,user,35,26,16
"{'funny': 2, 'useful': 5, 'cool': 0}",vSxaLh9RCl1BJDbIt0hxww,Ruby,4.0,5,user,5,2,0
"{'funny': 0, 'useful': 4, 'cool': 0}",yBMGCKvNXnb9Gr6VVRTHGw,Gerard,1.5,2,user,4,0,0
"{'funny': 0, 'useful': 0, 'cool': 1}",1zKpgs-JZixiWiS8PWdj2w,Trinidad,5.0,3,user,0,0,1
"{'funny': 11, 'useful': 17, 'cool': 11}",lzHNLEvRNFN-RQFmczYNBw,Katie,4.14,15,user,17,11,11
"{'funny': 0, 'useful': 0, 'cool': 1}",HplYk367S1EV6uywIIK5-w,Joe,4.33,3,user,0,0,1
"{'funny': 0, 'useful': 1, 'cool': 0}",IwDii1N3yCTXsgs4Nm2OEQ,Bari,5.0,3,user,1,0,0
"{'funny': 3, 'useful': 6, 'cool': 1}",sGL10Y44CVzzKNkLVeHOEQ,Dana,3.55,11,user,6,3,1
"{'funny': 142, 'useful': 209, 'cool': 135}",UF4IY9O6EaVo-hS5FqMsiA,Marisa,3.91,193,user,209,142,135
"{'funny': 1, 'useful': 9, 'cool': 1}",mmLIP0mFRbDgRjlKvJSAQw,Art,2.5,3,user,9,1,1
"{'funny': 0, 'useful': 1, 'cool': 0}",j9CYALELapJci8kQ61_7Cg,Nicole,4.25,5,user,1,0,0
"{'funny': 6, 'useful': 6, 'cool': 5}",Q9YX5k3ICwUYGkMjADSokQ,Melvyn,4.31,13,user,6,6,5
"{'funny': 3, 'useful': 4, 'cool': 1}",PyOkV3pQ1aw__O4VAWmvcw,FC,2.33,3,user,4,3,1
"{'funny': 0, 'useful': 2, 'cool': 0}",F6uG2OxXVNkAhuM24n3ZGg,Derek,3.0,2,user,2,0,0
"{'funny': 1, 'useful': 2, 'cool': 0}",Acl3hg7RPM6tj4zkPvdz1Q,John,3.0,2,user,2,1,0
"{'funny': 356, 'useful': 359, 'cool': 268}",dYtkphUrU7S2_bjif6k2uA,Junk,3.3,267,user,359,356,268
"{'funny': 0, 'useful': 1, 'cool': 0}",jgOtDM_CSVHoWhlf3JxUzQ,Alan,4.33,3,user,1,0,0
"{'funny': 94, 'useful': 166, 'cool': 95}",rbcbqdr8hV0iv8ISMheE3A,Kai,3.81,214,user,166,94,95
"{'funny': 2, 'useful': 0, 'cool': 0}",ZAbccZRkyprv9jA5JIqEAw,Rach,5.0,5,user,0,2,0
"{'funny': 15, 'useful': 52, 'cool': 11}",1NppMyL-2RXQvHUExIjxdA,Mike,3.52,90,user,52,15,11
"{'funny': 18, 'useful': 89, 'cool': 26}",cMmQsFyrYBv6hIE6NffqZQ,D,3.81,79,user,89,18,26
"{'funny': 444, 'useful': 970, 'cool': 728}",eSAmN-5RAu8y1igSvz_yJw,Eddie,3.95,252,user,970,444,728
"{'funny': 17, 'useful': 24, 'cool': 17}",VKOREbYBDBK5oaorb6j6mQ,kelly,4.13,23,user,24,17,17
"{'funny': 1, 'useful': 4, 'cool': 0}",LRsJbMmLXcMpZ3Fqcys0vA,Glenn,3.88,8,user,4,1,0
"{'funny': 33, 'useful': 117, 'cool': 52}",n4RPA0Cuem4ygQxPIdLBLQ,Stephanie,3.91,130,user,117,33,52
"{'funny': 1, 'useful': 24, 'cool': 10}",qQxDnjMexrsfltQV7I1mJw,Russ,3.81,21,user,24,1,10
"{'funny': 0, 'useful': 1, 'cool': 0}",pYfB2Asdqg5ampdmqEjdzA,Angie,5.0,1,user,1,0,0
"{'funny': 0, 'useful': 0, 'cool': 0}",-aCl04VaJ4FWzo7y2diKZg,Alex,5.0,1,user,0,0,0
"{'funny': 0, 'useful': 5, 'cool': 1}",TGQRbUuikgzO2ARVicH1cQ,Debra,4.75,4,user,5,0,1
"{'funny': 87, 'useful': 171, 'cool': 118}",akmkd_2iLRrbOyPBfYLN0A,Miss Kae,3.24,59,user,171,87,118
"{'funny': 3, 'useful': 12, 'cool': 2}",f72UJVOllcjgpZdOi7-gkA,M,3.5,7,user,12,3,2
"{'funny': 1, 'useful': 4, 'cool': 1}",EJeBInfAGoBiVWqXX2YTQg,James,4.0,3,user,4,1,1
"{'funny': 0, 'useful': 1, 'cool': 0}",rpMb-wEYPevvuaKLIbqrvQ,Ania,1.0,1,user,1,0,0
"{'funny': 0, 'useful': 2, 'cool': 1}",iIfuhtK9Pu7tLSNbxxoJfg,Lenin,5.0,2,user,2,0,1
"{'funny': 0, 'useful': 3, 'cool': 0}",BE27SDgLqJTEjVq2p9yZDg,Ryan,1.0,1,user,3,0,0
"{'funny': 0, 'useful': 1, 'cool': 0}",RqWIxCYG4a42mUCChgMQvA,Mickey,5.0,1,user,1,0,0
"{'funny': 7, 'useful': 11, 'cool': 4}",IFKDDiyY-ap8DNaSCIwbZQ,Catherine,3.1,32,user,11,7,4
"{'funny': 0, 'useful': 1, 'cool': 0}",sowwcc9gasFhwsdMgsMzrg,Nicole,4.75,4,user,1,0,0
"{'funny': 0, 'useful': 0, 'cool': 0}",XYx6ZiTSIpbC3qm_xEm-KA,Ron,4.33,3,user,0,0,0
"{'funny': 0, 'useful': 0, 'cool': 0}",f_rpabHGZ4SgFZp5_jQ8KA,Ash,3.0,2,user,0,0,0
"{'funny': 29, 'useful': 35, 'cool': 25}",zKyJDKJwAfWGB4HKXp9snw,Eric,4.0,36,user,35,29,25
"{'funny': 0, 'useful': 4, 'cool': 0}",owCSYaRJEiV-kk2L2HP00A,SJ,1.0,2,user,4,0,0
"{'funny': 5, 'useful': 17, 'cool': 7}",uBAMd01ZtGXaHrRD6THNzg,Anthony,4.33,16,user,17,5,7
"{'funny': 4, 'useful': 8, 'cool': 3}",JopzNRMvBxIc_M5pZfoK7Q,T,2.38,16,user,8,4,3
"{'funny': 0, 'useful': 3, 'cool': 0}",IBgAJmUpRFt7oxz0A7l80A,Ivy,3.67,4,user,3,0,0
"{'funny': 9, 'useful': 9, 'cool': 2}",FxEau0b8pC_N7QeZNHZZtw,Justin,2.8,12,user,9,9,2
"{'funny': 7, 'useful': 31, 'cool': 7}",u74AsCsDA4gSOGHySJTm3w,Rob,3.56,25,user,31,7,7
"{'funny': 0, 'useful': 6, 'cool': 7}",2QzrMw_uWZuhPFvqie0cmg,Joe,4.0,8,user,6,0,7
"{'funny': 1, 'useful': 1, 'cool': 0}",6LDJDgd3bllzpeo1JzJSIw,Shelley,3.25,4,user,1,1,0
"{'funny': 6, 'useful': 7, 'cool': 7}",z-TD7Mf07w8jdS2xbYp0Dw,A,5.0,5,user,7,6,7
"{'funny': 5, 'useful': 6, 'cool': 5}",_j70DLAT_Unc8uR_PNkp_Q,Jordan,5.0,5,user,6,5,5
"{'funny': 1, 'useful': 4, 'cool': 0}",S7Zlol5qxWrRGX21Uqs4_A,Debbie,5.0,1,user,4,1,0
"{'funny': 0, 'useful': 0, 'cool': 0}",ZpRbqGdmhgiENWtw_XQ4OA,Andrew,1.0,1,user,0,0,0
"{'funny': 20, 'useful': 49, 'cool': 11}",4expbzCvfg4ZEWh8MOD9Cw,Tyson,3.5,24,user,49,20,11
"{'funny': 1, 'useful': 3, 'cool': 1}",PXLb9RnpfSPRG4nNa1F05Q,Krysti,5.0,1,user,3,1,1
"{'funny': 0, 'useful': 5, 'cool': 3}",J0jywlzX6xwjDqPewyv7MA,Sharon,3.5,2,user,5,0,3
"{'funny': 15, 'useful': 67, 'cool': 25}",fM6zztYtf9W5DsXUhy941Q,Mister,3.65,71,user,67,15,25
"{'funny': 1, 'useful': 3, 'cool': 2}",F3kzrZd3R_z60p5mPeAT-Q,Chrystal,4.5,3,user,3,1,2
"{'funny': 0, 'useful': 1, 'cool': 0}",Lw2JfTJSlGLJa_qjoeYnbg,Emily,4.2,5,user,1,0,0
"{'funny': 16, 'useful': 66, 'cool': 41}",TSmeNkbRpG_8REsLeTIwnA,Jeremy,3.31,70,user,66,16,41
"{'funny': 1, 'useful': 6, 'cool': 1}",rxLztfrLaSOhwl5LTqbqzw,Tiffani,1.0,4,user,6,1,1
"{'funny': 103, 'useful': 179, 'cool': 60}",GDs9jnBBln3KhU0teNsHDQ,Eric,3.31,380,user,179,103,60
"{'funny': 5, 'useful': 14, 'cool': 5}",UlF9QddRCygQrmmXuwIFjg,Arnold,3.87,42,user,14,5,5
"{'funny': 0, 'useful': 0, 'cool': 0}",K-N_hbnmYNt35J35ocjbww,Jack,3.0,1,user,0,0,0
"{'funny': 2, 'useful': 1, 'cool': 0}",i2srUvYyu0rX8ODt_RKG3w,Mizuagi,1.0,1,user,1,2,0
"{'funny': 6, 'useful': 26, 'cool': 5}",GN-4LStZtWdAqNjwUUEvNQ,Adam,3.78,18,user,26,6,5
"{'funny': 1, 'useful': 6, 'cool': 1}",jv9monaBCfX84LIW5gFs2w,Russell,3.0,2,user,6,1,1
"{'funny': 0, 'useful': 3, 'cool': 0}",3ouCNuKrN3cw3bBZHXdcyQ,Nicole,3.6,6,user,3,0,0
"{'funny': 3, 'useful': 25, 'cool': 3}",SfXcp7C6lzRgYBiNL6zX7w,Nikolas,4.27,26,user,25,3,3
"{'funny': 1, 'useful': 4, 'cool': 4}",kfvcQcMouoxlw4bmQebxww,Pam,3.75,4,user,4,1,4
"{'funny': 196, 'useful': 578, 'cool': 412}",2mQpxWifARjbp7H1rehVrQ,Sal,3.65,238,user,578,196,412
"{'funny': 0, 'useful': 0, 'cool': 0}",gkLF4m_BlvFRhOuh1OGgyw,Dan,5.0,1,user,0,0,0
"{'funny': 0, 'useful': 0, 'cool': 0}",7xp8QB-6APuFbiSdEI3-4Q,Terry,5.0,1,user,0,0,0
"{'funny': 0, 'useful': 1, 'cool': 0}",YyV13Qb7TL-o1rvn_b1VGA,Aaron,5.0,1,user,1,0,0
"{'funny': 0, 'useful': 2, 'cool': 0}",Cw_f-K74pUnQs-A16itmEg,John,4.0,3,user,2,0,0
"{'funny': 0, 'useful': 4, 'cool': 0}",weBOpmQtMv8Z_L54gPs3hw,Jennifer,3.86,9,user,4,0,0
"{'funny': 1, 'useful': 1, 'cool': 1}",nVs5vkTn-rcbpVbnfl_KWw,Mychal,5.0,1,user,1,1,1
"{'funny': 1, 'useful': 3, 'cool': 0}",Uo74EZEYjOeEfsUpdS3oiw,Billy,3.5,2,user,3,1,0
"{'funny': 3, 'useful': 7, 'cool': 2}",JiJSN4Ke7om8lkkllKTR5A,Allison,3.95,21,user,7,3,2
"{'funny': 18, 'useful': 48, 'cool': 21}",AcErO3j0GFTXbdJHbuD2-Q,Ron,3.79,47,user,48,18,21
"{'funny': 3, 'useful': 7, 'cool': 3}",53AZajKCKZsf-VosN8Dmeg,Colby,4.0,5,user,7,3,3
"{'funny': 0, 'useful': 2, 'cool': 0}",1O7mOUPJCxB6e5pdyCin4g,AB,4.0,5,user,2,0,0
"{'funny': 1, 'useful': 12, 'cool': 0}",nu6xTWhL3SVrnxPgJOE73Q,Stephanie,1.8,7,user,12,1,0
"{'funny': 0, 'useful': 4, 'cool': 2}",xZJO6cRX6OHabaePvPzsXw,Sarah,4.17,6,user,4,0,2
"{'funny': 0, 'useful': 2, 'cool': 0}",v1ntgoANp9xLxf4u5iJR4Q,Tim,5.0,2,user,2,0,0
"{'funny': 1, 'useful': 3, 'cool': 2}",bbVdfdqq3_XmWTxrhqPa0Q,Chris,4.0,4,user,3,1,2
"{'funny': 20, 'useful': 116, 'cool': 23}",oe614PyMdAayDUfWEaFUUA,Barbara,3.89,88,user,116,20,23
"{'funny': 2, 'useful': 6, 'cool': 1}",Qo8UkUSL5y-MCw50eIACsQ,Daphne,3.17,18,user,6,2,1
"{'funny': 210, 'useful': 907, 'cool': 580}",sXWvDlMQspjJ1zzr3cEM7Q,Meridith,3.64,439,user,907,210,580
"{'funny': 5, 'useful': 28, 'cool': 11}",Wg4mxEGEI7Vz8VC0WCI69Q,Joe,3.62,14,user,28,5,11
"{'funny': 0, 'useful': 16, 'cool': 3}",fJH98Ok6ZlfBmsd0h_HaUQ,Anne,3.5,8,user,16,0,3
"{'funny': 0, 'useful': 3, 'cool': 2}",hkXeZdoz2uk1ZLORqYQ47w,Richard,4.12,8,user,3,0,2
"{'funny': 0, 'useful': 1, 'cool': 0}",tHE3AJdBju9VQ0fzbP72dw,Jordana,5.0,1,user,1,0,0
"{'funny': 8, 'useful': 39, 'cool': 14}",O5dNmqcrCiE7FG7VS3y-Cw,Chase,3.75,28,user,39,8,14
"{'funny': 1, 'useful': 10, 'cool': 0}",ify3N2NjFX_sjDnslizsvw,Grace,3.85,26,user,10,1,0
"{'funny': 0, 'useful': 1, 'cool': 0}",oQSK7Poz3Ex95qpsv2EUcg,Donald,5.0,1,user,1,0,0
"{'funny': 9, 'useful': 28, 'cool': 6}",SFWaDnvJtHPD0pIru1y8wg,Kathy,3.92,12,user,28,9,6
"{'funny': 5, 'useful': 3, 'cool': 1}",ThZw3MFhwjxU4bjeFL3Pcg,Kelli,4.6,5,user,3,5,1
"{'funny': 5, 'useful': 6, 'cool': 5}",ZsjBAQiO5lNa_Tzlr3_FlQ,Daniel,3.8,5,user,6,5,5
"{'funny': 43, 'useful': 209, 'cool': 91}",oFHxCaz9iIkuilTtqlzxEg,Larisa,3.93,332,user,209,43,91
"{'funny': 0, 'useful': 1, 'cool': 0}",bzE1d8iiwkswuyjqC7r11Q,Jonathan,3.33,3,user,1,0,0
"{'funny': 1, 'useful': 16, 'cool': 2}",j0KVSX1QWLgjqVoYLjLqEA,John,4.0,11,user,16,1,2
"{'funny': 3, 'useful': 12, 'cool': 4}",RD2YHSnQCy2iSN_EGo3QdA,Jason,3.67,4,user,12,3,4
"{'funny': 6, 'useful': 21, 'cool': 6}",nr5-g3HCSidJ9fBoAP39jA,Justus,3.97,29,user,21,6,6
"{'funny': 2, 'useful': 4, 'cool': 1}",9b7HeM91XY9tIFGFVi7Y5A,Jennifer,3.71,8,user,4,2,1
"{'funny': 1, 'useful': 3, 'cool': 1}",AIvZS_tQ7y-ADNji1KM9Bg,Cathy,3.0,4,user,3,1,1
"{'funny': 4, 'useful': 8, 'cool': 1}",iSjr5iewkapr08l5SPAi0A,Jennifer,1.6,7,user,8,4,1
"{'funny': 3, 'useful': 11, 'cool': 3}",dlcDKOOlGeQ7Cu-6tAiHYg,carrie,3.93,30,user,11,3,3
"{'funny': 6, 'useful': 16, 'cool': 5}",T2u4D_GmKo5KbDiXLRTcyA,lenoxx,3.43,15,user,16,6,5
"{'funny': 2, 'useful': 2, 'cool': 2}",AdNbFzW14o88wNo7dTKz6g,George,3.5,3,user,2,2,2
"{'funny': 3, 'useful': 9, 'cool': 1}",RxX5_RP3hSGpMhGY6y6OiQ,Joe,4.85,13,user,9,3,1
"{'funny': 0, 'useful': 0, 'cool': 0}",yf8gN_pRFE4c3zs1D72l4g,Staria,4.0,2,user,0,0,0
"{'funny': 35, 'useful': 140, 'cool': 58}",bWNjCQyTJttofo3dKtTTPQ,Tricia,3.75,198,user,140,35,58
"{'funny': 0, 'useful': 1, 'cool': 0}",PyhTmEpgkP1CMGJP-bB9DA,Richard,5.0,1,user,1,0,0
"{'funny': 2036, 'useful': 3391, 'cool': 2331}",4CJGQajGdc8JwFneADetcQ,Jeff,3.67,1357,user,3391,2036,2331
"{'funny': 2, 'useful': 2, 'cool': 0}",3sfS66tTc2BLmcU959dSsg,Simon,4.15,14,user,2,2,0
"{'funny': 2, 'useful': 35, 'cool': 4}",p7CS-HdINxXUVxn9Ss09VA,Micah,4.0,19,user,35,2,4
"{'funny': 0, 'useful': 4, 'cool': 2}",LFLqZT3zTP5nJ0kH_ydVkg,Amy,2.75,4,user,4,0,2
"{'funny': 52, 'useful': 97, 'cool': 43}",VbkrQcb615YaVp7bFyt5fQ,Tanya,3.94,31,user,97,52,43
"{'funny': 2, 'useful': 11, 'cool': 6}",JK0mzJWym6AFSrw849bmrQ,Steven,4.18,11,user,11,2,6
"{'funny': 4, 'useful': 11, 'cool': 4}",ngU1vdwjT2lGOsdTq1JK5A,Steve,4.22,9,user,11,4,4
"{'funny': 1, 'useful': 31, 'cool': 11}",23zT_daU4O5VcFnajw8MTg,Casey,4.0,22,user,31,1,11
"{'funny': 9, 'useful': 22, 'cool': 3}",SgLoVOP_KUVQuDDI3PpkFA,Jessica,3.88,17,user,22,9,3
"{'funny': 0, 'useful': 0, 'cool': 0}",-d12fQpJ6XhN-hPzxeStCg,Kelly,5.0,1,user,0,0,0
"{'funny': 1, 'useful': 1, 'cool': 0}",TbZ9KAHJGtmV73thmvjygQ,Jennifer,4.5,2,user,1,1,0
"{'funny': 1, 'useful': 0, 'cool': 0}",83UjWE-VBOoOws1oI4JhfA,Paula,5.0,3,user,0,1,0
"{'funny': 1, 'useful': 14, 'cool': 4}",4k3-pyX966dnSMuvuBvLjA,Rachel,3.85,13,user,14,1,4
"{'funny': 0, 'useful': 0, 'cool': 1}",eT1fp_Js2GD5Z-FIt8CC1w,Pam,5.0,2,user,0,0,1
"{'funny': 0, 'useful': 8, 'cool': 1}",nTFnSwqOpyj5d4IifRa8XQ,alex,3.67,3,user,8,0,1
"{'funny': 0, 'useful': 1, 'cool': 0}",8Kvmut7tOYkAxa5KPBT3FA,Mary,3.5,4,user,1,0,0
"{'funny': 4, 'useful': 7, 'cool': 4}",vh85A2GSrIovm3W7CG4R0g,e.,4.75,4,user,7,4,4
"{'funny': 1, 'useful': 6, 'cool': 1}",4QA8ilDzVnF4j__I6E4T6w,Becky,2.8,5,user,6,1,1
"{'funny': 0, 'useful': 1, 'cool': 0}",OIEmHXKytEoQfnOu2Ozmgw,P,4.75,5,user,1,0,0
"{'funny': 2, 'useful': 19, 'cool': 2}",out_4MBKTtOqlXlHOlXwFg,Anne,3.5,16,user,19,2,2
"{'funny': 0, 'useful': 0, 'cool': 0}",J-H-q2-4AyFM1ILE4MARAA,Terrence,5.0,1,user,0,0,0
"{'funny': 0, 'useful': 9, 'cool': 3}",gQm2p1gmBPQ4f1sHxgRlbw,Conrad,5.0,6,user,9,0,3
"{'funny': 0, 'useful': 2, 'cool': 0}",TGZknBtL5dyiuoThHSKmMg,Nicole,1.0,2,user,2,0,0
"{'funny': 1, 'useful': 0, 'cool': 0}",GIBTgFC8amRa295ozndJIQ,Charles,4.0,2,user,0,1,0
"{'funny': 0, 'useful': 3, 'cool': 1}",lzutD82kSsk55M7XEId6GA,Patty,4.5,2,user,3,0,1
"{'funny': 0, 'useful': 3, 'cool': 1}",N56tE_bSNVAgk59avW-TFA,Mary,4.83,6,user,3,0,1
"{'funny': 1, 'useful': 5, 'cool': 3}",Qx6Kq92S72-tik94Hfn0UA,Madinah,5.0,2,user,5,1,3
"{'funny': 1, 'useful': 1, 'cool': 0}",zGsGvKgD-5ZtXNzTagjbkQ,Sue,1.0,2,user,1,1,0
"{'funny': 7, 'useful': 30, 'cool': 11}",vz05hlteS6XvnczIInsnqw,Corey,3.73,40,user,30,7,11
"{'funny': 0, 'useful': 7, 'cool': 1}",umHlSGfbPXti-VOinu7fkQ,Catherine,4.0,5,user,7,0,1
"{'funny': 1, 'useful': 5, 'cool': 3}",8McyBeTdW7D4BG87Tv41WQ,Carol,4.58,13,user,5,1,3
"{'funny': 0, 'useful': 1, 'cool': 0}",ew-YiTn2fJH0IyjXSltKBQ,Michelle,5.0,2,user,1,0,0
"{'funny': 0, 'useful': 0, 'cool': 0}",g5hVihQ30Nn-XoswvlvMvQ,Nanette,2.33,4,user,0,0,0
"{'funny': 2, 'useful': 3, 'cool': 3}",lw_Lj1XjPjOYrDIkDEcDzg,Kimberly,4.2,10,user,3,2,3
"{'funny': 0, 'useful': 0, 'cool': 0}",6dDBJ5G-C5lcuLeUAwwdvQ,Evan,4.0,1,user,0,0,0
"{'funny': 2, 'useful': 4, 'cool': 1}",VFcEaZC5ojcgA0RIcukggA,B,4.0,3,user,4,2,1
"{'funny': 1, 'useful': 4, 'cool': 0}",cKFd4AkPGpOkEy9zR_7O5w,Alyssa,3.92,13,user,4,1,0
